Question,Intent,Answer
When is the registration deadline for courses?,Check registration deadline,The last date to register is October 31.
When does course registration close?,Check registration deadline,The last date to register is October 31.
What’s the deadline to sign up for classes?,Check registration deadline,The last date to register is October 31.
How do I reset my Moodle password?,Reset password,"To reset your Moodle password, go to the ""Forgot Password"" link."
How can I recover my Moodle password?,Reset password,"To reset your Moodle password, go to the ""Forgot Password"" link."
"I forgot my Moodle password, how do I reset it?",Reset password,"To reset your Moodle password, go to the ""Forgot Password"" link."
What should I do if I forget my Moodle password?,Reset password,"To reset your Moodle password, go to the ""Forgot Password"" link."
How can I check my grades?,Check grades,"You can check your grades by logging into Moodle and clicking on the ""Grades"" tab."
Where can I view my grades?,Check grades,"You can check your grades by logging into Moodle and clicking on the ""Grades"" tab."
How do I see my grades on Moodle?,Check grades,"You can check your grades by logging into Moodle and clicking on the ""Grades"" tab."
Can I view my grades online?,Check grades,"You can check your grades by logging into Moodle and clicking on the ""Grades"" tab."
What are the office hours for my professor?,Ask for professor's hours,You can check your professor's office hours on the course page.
When is my professor available?,Ask for professor's hours,You can check your professor's office hours on the course page.
How do I find my professor's office hours?,Ask for professor's hours,You can check your professor's office hours on the course page.
Where can I see my professor's office hours?,Ask for professor's hours,You can check your professor's office hours on the course page.
How do I join a Zoom lecture?,Join Zoom lecture,You can join your Zoom lecture by clicking the Zoom link on your Moodle course page.
How can I attend my Zoom class?,Join Zoom lecture,You can join your Zoom lecture by clicking the Zoom link on your Moodle course page.
Where is the Zoom link for my lecture?,Join Zoom lecture,You can join your Zoom lecture by clicking the Zoom link on your Moodle course page.
How do I access my Zoom lecture on Moodle?,Join Zoom lecture,You can join your Zoom lecture by clicking the Zoom link on your Moodle course page.
How do I view past assignments?,View past assignments,"You can view past assignments by navigating to the ""Assignments"" section of the specific course on Moodle."
What should I do if I can't log into Moodle?,Login troubleshooting,"If you can't log into Moodle, first ensure your password is correct. If the issue persists, contact IT support at itsupport@loyalistcollege.com."
How can I contact my instructor through Moodle?,Contact instructor,"You can contact your instructor through the ""Messages"" section or via the ""Participants"" list in your course."
How do I submit a quiz on Moodle?,Submit a quiz,"To submit a quiz, navigate to the ""Quizzes"" tab in your course and follow the instructions provided."
How do I change my Moodle password?,Change password,"You can change your Moodle password by going to the ""User Profile"" section and selecting ""Change Password."""
Where can I view my assignment feedback?,View assignment feedback,"You can view your assignment feedback by clicking on the specific assignment in the ""Assignments"" tab."
How do I upload a file on Moodle?,Upload a file,"To upload a file, go to the assignment or quiz, click ""Add submission,"" and then drag and drop your file or choose it from your computer."
Can I access Moodle on my phone?,Access Moodle on mobile,"Yes, you can access Moodle through your phone’s browser or by downloading the Moodle app from the app store."
How do I find my course schedule?,View course schedule,"You can find your course schedule on the Loyalist College portal under the ""Timetable"" section."
How can I join a discussion forum?,Join discussion forum,"You can join a discussion forum by going to the ""Forums"" section in your course and selecting the forum you want to participate in."
"What is Turnitin, and how do I use it?",Turnitin help,Turnitin is a plagiarism detection tool. You can submit your assignments to Turnitin through the assignment submission page on Moodle.
How do I view announcements from my instructor?,View announcements,"Instructor announcements are available in the ""Announcements"" section on your Moodle course page."
How do I access the library's online resources?,Access online resources,"You can access the library’s online resources through the ""Library Services"" link on Moodle or on the Loyalist College website."
Where can I download course reading materials?,Download reading materials,"Course reading materials are usually available under the ""Resources"" or ""Course Materials"" section in your Moodle course."
How do I book a study room in the library?,Book study room,You can book a study room in the library by using the online booking system available on the Loyalist College website or visiting the library.
How do I check for course updates or changes?,Check course updates,"Course updates or changes are posted in the ""Announcements"" section or communicated via email by your instructor."
Where can I see my class attendance?,Check class attendance,"You can check your class attendance in the ""Attendance"" section of your course on Moodle, if your instructor is tracking it."
How do I update my personal information on Moodle?,Update personal information,You can update your personal information by going to your profile settings in Moodle.
What are the admission requirements for Loyalist College?,Ask for admission requirements,The admission requirements vary by program; please visit the Loyalist College website for detailed information.
How do I apply for a program at Loyalist College?,Ask about the application process,You can apply online through the Loyalist College website by filling out the application form.
When is the application deadline for September intake?,Check application deadlines,The application deadline for the September intake is usually in early February. Please check the website for exact dates.
Can I apply for multiple programs at the same time?,Ask about multiple applications,"Yes, you can apply for multiple programs, but you will need to submit a separate application for each program."
Is there an application fee?,Ask about application fees,"Yes, there is a non-refundable application fee of $100. You can pay this fee online during the application process."
How will I know if my application has been accepted?,Check application status,"You will receive an email notification regarding your application status, usually within 4-6 weeks after the deadline."
What documents do I need to submit with my application?,Ask for required documents,"Required documents typically include transcripts, a resume, and a personal statement. Check the program page for specifics."
Can I defer my admission to the next intake?,Ask about deferring admission,"Yes, you can defer your admission for one year. Contact the admissions office for more details on the process."
What if I don't meet the admission requirements?,Ask about alternatives,"If you don't meet the requirements, consider upgrading your qualifications or discussing alternative pathways with an academic advisor."
Are there scholarships available for new students?,Ask about scholarships,"Yes, Loyalist College offers various scholarships for new students. You can find more information on the scholarships page of the website."
How do I apply for financial aid?,Ask about financial aid,You can apply for financial aid through the OSAP website or by visiting the financial aid office at Loyalist College.
What is the process for international student admissions?,Ask about international admissions,International students should apply through the International Admissions section of the Loyalist College website for specific guidelines.
How can I check the status of my application?,Check application status,You can check your application status by logging into the application portal or by contacting the admissions office.
Is there an orientation program for new students?,Ask about orientation,"Yes, Loyalist College offers an orientation program for new students, which you can find more information about on the website."
Can I visit the campus before applying?,Ask about campus visits,"Yes, you can schedule a campus tour through the Loyalist College website. Tours are available on specific days."
What programs are offered at Loyalist College?,Ask about available programs,"Loyalist College offers a variety of programs in arts, technology, business, and health sciences. Please check the website for a complete list."
How long does it take to receive an admission decision?,Ask about admission timelines,"Typically, you will receive an admission decision within 4-6 weeks after the application deadline."
Can I change my program after applying?,Ask about changing programs,"Yes, you can request to change your program, but you will need to contact the admissions office for guidance on the process."
What should I do if I am waitlisted?,Ask about waitlist procedures,"If you are waitlisted, you will receive an email with instructions. You can also reach out to the admissions office for more information."
,,
How do I access my program's course schedule on Moodle?,Access course schedule,"You can find your program's course schedule under the ""Courses"" section after logging into Moodle."
What should I do if I encounter a broken link in Moodle?,Report technical issue,"If you encounter a broken link, please report it to your instructor or contact IT support for assistance."
Can I access Moodle before my classes start?,Ask about early access,"Yes, you can access Moodle before classes start to review any preliminary materials provided by your instructors."
How do I find my student ID number?,Ask about student ID,Your student ID number can be found in your acceptance letter or by logging into the Loyalist College portal.
What is the process for changing my program after admission?,Ask about program changes,"To change your program after admission, you should contact the admissions office for guidance on the process."
Are there any prerequisites for my program listed on Moodle?,Ask about prerequisites,Prerequisites for your program can be found in the course description on Moodle or on the Loyalist College website.
How can I access past exam papers?,Ask about past exams,"Past exam papers may be available in the ""Resources"" section of your course on Moodle or by contacting your instructor."
What if I need accommodations for my studies?,Ask about accommodations,"If you need accommodations, please contact the Accessibility Services office for assistance in arranging support."
How can I find information on program transfer options?,Ask about program transfers,Information on program transfer options is available through the admissions office or on the Loyalist College website.
Where can I find information about co-op placements?,Ask about co-op placements,"Details about co-op placements can be found in the ""Career Services"" section on Moodle or by contacting your program coordinator."
How do I join student groups or clubs through Moodle?,Ask about student groups,"Information about student groups and clubs can be found in the ""Student Life"" section on Moodle. You can join by signing up through the provided links."
How do I apply for a leave of absence?,Ask about leave of absence,"To apply for a leave of absence, contact the admissions office or refer to the Loyalist College website for the necessary forms."
What resources are available for first-year students on Moodle?,Ask about resources for first-year students,"First-year students can access resources in the ""First-Year Experience"" section on Moodle, including guides and support services."
How do I stay informed about program updates or changes?,Ask about staying informed,"You can stay informed about program updates by checking the ""Announcements"" section in your Moodle course and your email regularly."
Where can I find information on international student services?,Ask about international services,"Information on international student services can be found in the ""International Students"" section on the Loyalist College website and Moodle."
